id,series,difficulty,tags,question,correct_answer,wrong_1,wrong_2,wrong_3,source_note,review_notes
ygo-021,Yu-Gi-Oh! Duel Monsters,hard,,"In the Waking the Dragons arc, which villain leads the Orichalcos cult?",Dartz,Rafael,Valon,Alister,Waking the Dragons arc.,
ygo-022,Yu-Gi-Oh! Duel Monsters,hard,,Which legendary dragon does Yugi receive in the Waking the Dragons arc?,Timaeus,Critias,Hermos,Slifer,Kaiba gets Critias and Joey gets Hermos.,
ygo-023,Yu-Gi-Oh! Duel Monsters,hard,,"Who is Gozaburo Kaiba's biological son, whose mind lives inside a virtual world?",Noah Kaiba,Mokuba Kaiba,Seto Kaiba,Leon von Schroeder,Virtual World arc.,
ygo-024,Yu-Gi-Oh! Duel Monsters,hard,,"In the final Ceremonial Duel, who defeats the Pharaoh?",Yugi Muto,Seto Kaiba,Joey Wheeler,Yami Bakura,Final episodes.,
ygo-025,Yu-Gi-Oh! Duel Monsters,hard,,"Who is the American child prodigy duelist, granddaughter of Professor Arthur Hawkins?",Rebecca Hawkins,Serenity Wheeler,Vivian Wong,Mai Valentine,Introduced after Duelist Kingdom; returns in Waking the Dragons.,
jjk-001,Jujutsu Kaisen,easy,,What cursed object does Yuji Itadori swallow in the first episode?,Sukuna's finger,A cursed womb,Gojo's blindfold,A cursed tool,Episode 1.,
jjk-002,Jujutsu Kaisen,easy,,Who is the blindfolded teacher of the first-years at Tokyo Jujutsu High?,Satoru Gojo,Kento Nanami,Masamichi Yaga,Suguru Geto,Episode 1.,
jjk-003,Jujutsu Kaisen,easy,,Sukuna is known as the King of...?,Curses,Shadows,Hell,Fingers,Episode 1.,
jjk-004,Jujutsu Kaisen,easy,,Megumi Fushiguro summons his shikigami using...?,Shadows,Blood,Fire,Words,The Ten Shadows Technique.,
jjk-005,Jujutsu Kaisen,easy,,What does Nobara Kugisaki fight with?,A hammer and nails,Twin swords,A spear,A bow,Straw Doll Technique.,
jjk-006,Jujutsu Kaisen,easy,,What is Gojo's Domain Expansion called?,Unlimited Void,Malevolent Shrine,Chimera Shadow Garden,Self-Embodiment of Perfection,First shown against Jogo.,
jjk-007,Jujutsu Kaisen,easy,,What is Sukuna's Domain Expansion called?,Malevolent Shrine,Unlimited Void,Idle Death Gamble,Coffin of the Iron Mountain,Shibuya Incident arc.,
jjk-008,Jujutsu Kaisen,easy,,The arc where the sorcerers fight to rescue Gojo in Tokyo's busiest district is the...?,Shibuya Incident,Shinjuku Showdown,Culling Game,Kyoto Goodwill Event,Season 2.,
jjk-009,Jujutsu Kaisen,easy,,Which special-grade curse reshapes souls with Idle Transfiguration?,Mahito,Jogo,Hanami,Dagon,Introduced in the Vs. Mahito arc.,
jjk-010,Jujutsu Kaisen,medium,,How many fingers does Sukuna have in total?,Twenty,Ten,Fifteen,Nine,He had four arms.,
jjk-011,Jujutsu Kaisen,medium,,Gojo's inherited cursed technique is called...?,Limitless,Ten Shadows,Cursed Speech,Boogie Woogie,Paired with the Six Eyes.,
jjk-012,Jujutsu Kaisen,medium,,Toge Inumaki only speaks using the ingredients of...?,Rice balls,Sushi,Ramen,Curry,To avoid triggering his Cursed Speech.,
jjk-013,Jujutsu Kaisen,medium,,Yuta Okkotsu is haunted by the cursed spirit of his childhood friend...?,Rika,Riko,Yuki,Mei,Jujutsu Kaisen 0.,
jjk-014,Jujutsu Kaisen,medium,,Nanami's Ratio Technique creates a weak point at which ratio of a target?,7:3,5:5,1:9,2:8,Vs. Mahito arc.,
jjk-015,Jujutsu Kaisen,medium,,What is Aoi Todo's technique that swaps positions when he claps?,Boogie Woogie,Star Rage,Cursed Speech,Blood Manipulation,Kyoto Goodwill Event arc.,
jjk-016,Jujutsu Kaisen,medium,,Gojo is sealed during the Shibuya Incident inside the...?,Prison Realm,Cursed Womb,Domain Amplification,Iron Mountain,Shibuya Incident arc.,
jjk-017,Jujutsu Kaisen,medium,,Who is the ancient sorcerer inhabiting Suguru Geto's body?,Kenjaku,Sukuna,Uraume,Tengen,Revealed at the end of the Shibuya Incident.,
jjk-018,Jujutsu Kaisen,medium,,What is a Binding Vow?,A self-imposed contract that trades restrictions for power,A curse placed on a family line,A sorcerer's marriage,A domain's barrier,Explained repeatedly; Yuji and Sukuna make one.,
jjk-019,Jujutsu Kaisen,medium,,"What is Megumi's strongest shikigami, which no user of his technique has ever tamed?",Mahoraga,Nue,Divine Dog: Totality,Max Elephant,Shibuya Incident arc.,
jjk-020,Jujutsu Kaisen,hard,,Gojo's Hollow Purple is created by combining which two techniques?,Blue and Red,Blue and Black,Red and White,Blue and Infinity,First used against Hanami.,
jjk-021,Jujutsu Kaisen,hard,,A Black Flash occurs when cursed energy strikes within how long of a physical hit?,0.000001 seconds,0.1 seconds,1 second,0.01 seconds,Explained by Todo during the Kyoto Goodwill Event.,
jjk-022,Jujutsu Kaisen,hard,,"Who is Megumi's father, known as the Sorcerer Killer?",Toji Fushiguro,Naoya Zenin,Naobito Zenin,Ogi Zenin,Gojo's Past arc.,
jjk-023,Jujutsu Kaisen,hard,,Who was the Star Plasma Vessel that Gojo and Geto were assigned to protect as students?,Riko Amanai,Rika Orimoto,Yuki Tsukumo,Shoko Ieiri,Gojo's Past arc.,
jjk-024,Jujutsu Kaisen,hard,,Who set up the Culling Game?,Kenjaku,Sukuna,Tengen,Hakari,Culling Game arc.,
jjk-025,Jujutsu Kaisen,hard,,Kinji Hakari's Domain Expansion is themed on which game?,Pachinko,Baseball,Mahjong,Horse racing,"Idle Death Gamble, Culling Game arc.",
yyh-001,Yu Yu Hakusho,easy,,How does Yusuke Urameshi die at the very start of the series?,Hit by a car while saving a child,Killed by a demon,Falling off a roof,Drowning,Episode 1.,
yyh-002,Yu Yu Hakusho,easy,,"Yusuke's signature attack, fired from his index finger, is the...?",Spirit Gun,Spirit Sword,Rose Whip,Dragon of the Darkness Flame,Spirit Detective saga.,
yyh-003,Yu Yu Hakusho,easy,,Who is the ferry girl who guides Yusuke to Spirit World?,Botan,Keiko,Yukina,Genkai,Episode 1.,
yyh-004,Yu Yu Hakusho,easy,,Which of Yusuke's allies wields a Spirit Sword?,Kuwabara,Hiei,Kurama,Koenma,Spirit Detective saga.,
yyh-005,Yu Yu Hakusho,easy,,What is Kurama's weapon?,A rose whip,A spirit sword,A katana,A spirit gun,Spirit Detective saga.,
yyh-006,Yu Yu Hakusho,easy,,What is Hiei's third eye called?,The Jagan,The Byakugan,The Third Sight,The Demon Eye,Spirit Detective saga.,
yyh-007,Yu Yu Hakusho,easy,,"Who rules over Spirit World's judgement of the dead, and appears as a toddler with a pacifier?",Koenma,King Enma,Botan,Ogre,Episode 1.,
yyh-008,Yu Yu Hakusho,easy,,Who trains Yusuke and teaches him the Spirit Wave?,Genkai,Koenma,Kurama,Raizen,Spirit Detective saga.,
yyh-009,Yu Yu Hakusho,easy,,What is Yusuke's job title while working for Spirit World?,Spirit Detective,Soul Reaper,Demon Hunter,Spirit Sheriff,Spirit Detective saga.,
yyh-010,Yu Yu Hakusho,medium,,The tournament in which Team Urameshi faces Team Toguro is the...?,Dark Tournament,Demon World Tournament,Genkai's Tournament,Spirit Detective Trials,Dark Tournament saga.,
yyh-011,Yu Yu Hakusho,medium,,"What is the name of Yusuke's spirit beast, hatched from an egg?",Puu,Eikichi,Kuro,Momo,Eikichi is Kuwabara's cat.,
yyh-012,Yu Yu Hakusho,medium,,Which ice apparition is revealed to be Hiei's twin sister?,Yukina,Botan,Mukuro,Keiko,Spirit Detective saga.,
yyh-013,Yu Yu Hakusho,medium,,At what percentage of his power does Younger Toguro fight Yusuke in the Dark Tournament final?,100%,80%,60%,120%,Dark Tournament final.,
yyh-014,Yu Yu Hakusho,medium,,What is Kurama's true demon form?,A silver fox demon,A fire demon,An ice apparition,A wolf demon,Yoko Kurama.,
yyh-015,Yu Yu Hakusho,medium,,"Who is the villain of the Chapter Black saga, a former Spirit Detective?",Shinobu Sensui,Younger Toguro,Sakyo,Yomi,Chapter Black saga.,
yyh-016,Yu Yu Hakusho,medium,,Yusuke discovers he is descended from which Demon World king?,Raizen,Yomi,Mukuro,Enki,End of the Chapter Black saga.,
yyh-017,Yu Yu Hakusho,medium,,What does the Chapter Black tape show?,Humanity's worst atrocities,Demon World's history,Yusuke's past,Genkai's training,Chapter Black saga.,
yyh-018,Yu Yu Hakusho,medium,,What is Hiei's most powerful attack?,Dragon of the Darkness Flame,Fist of the Mortal Flame,Spirit Wave,Shotgun,First unleashed in the Dark Tournament.,
yyh-019,Yu Yu Hakusho,medium,,Who is Yusuke's childhood friend and love interest?,Keiko Yukimura,Botan,Shizuru Kuwabara,Yukina,Episode 1.,
yyh-020,Yu Yu Hakusho,hard,,Which of the Four Saint Beasts is their leader at Maze Castle?,Suzaku,Byakko,Seiryu,Genbu,Spirit Detective saga.,
yyh-021,Yu Yu Hakusho,hard,,Who wins the Demon World Tournament at the end of the series?,Enki,Yusuke,Yomi,Mukuro,Three Kings saga.,
yyh-022,Yu Yu Hakusho,hard,,Who hired the assassin that blinded Yomi in the past?,"Kurama, as Yoko",Raizen,Mukuro,Hiei,Three Kings saga.,
yyh-023,Yu Yu Hakusho,hard,,Who was the wealthy human sponsor of Team Toguro?,Sakyo,Tarukane,Butajiri,Gonzo,Dark Tournament saga.,
yyh-024,Yu Yu Hakusho,hard,,"During Genkai's tournament, the demon Rando disguised himself as a monk named...?",Shorin,Kibano,Kuroda,Kazemaru,Spirit Detective saga.,
yyh-025,Yu Yu Hakusho,hard,,What does Genkai pass on to Yusuke as a glowing orb before the Dark Tournament final?,The Spirit Wave Orb,The Spirit Gun,Sacred Energy,The Jagan,Dark Tournament saga.,
